layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
2,model.layers.2.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.21739131212234497,0.14816999435424805
2,model.layers.2.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.1467391401529312,0.15214848518371582
3,model.layers.3.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05978260934352875,0.14420652389526367
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05978260934352875,0.14109039306640625
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.10054347664117813,0.14203166961669922
3,model.layers.3.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.08152174204587936,0.14693117141723633
3,model.layers.3.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.4021739065647125,0.14728331565856934
3,model.layers.3.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.21739131212234497,0.14706039428710938
3,model.layers.3.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.17391304671764374,0.14903593063354492
4,model.layers.4.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05978260934352875,0.14866995811462402
4,model.layers.4.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05434782803058624,0.14471840858459473
4,model.layers.4.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.1195652186870575,0.1455531120300293
4,model.layers.4.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.0625,0.14980316162109375
4,model.layers.4.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.25271740555763245,0.14753198623657227
4,model.layers.4.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.22282609343528748,0.14841651916503906
4,model.layers.4.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.198369562625885,0.14870810508728027
5,model.layers.5.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.07608696073293686,0.14545869827270508
5,model.layers.5.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.04619565233588219,0.14398813247680664
5,model.layers.5.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.12228260934352875,0.14468741416931152
5,model.layers.5.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.08967391401529312,0.14696240425109863
5,model.layers.5.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.17934782803058624,0.14690780639648438
5,model.layers.5.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.22010870277881622,0.14905261993408203
5,model.layers.5.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.176630437374115,0.15438365936279297
6,model.layers.6.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.08423913270235062,0.14164137840270996
6,model.layers.6.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.07065217196941376,0.14265847206115723
6,model.layers.6.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.14945653080940247,0.1439208984375
6,model.layers.6.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.17391304671764374,0.145033597946167
6,model.layers.6.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.2554347813129425,0.14817214012145996
6,model.layers.6.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.21467392146587372,0.14731240272521973
6,model.layers.6.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.26902174949645996,0.14856433868408203
7,model.layers.7.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.07880435138940811,0.1445300579071045
7,model.layers.7.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.07065217196941376,0.14484930038452148
7,model.layers.7.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.0733695700764656,0.15120553970336914
7,model.layers.7.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.06521739065647125,0.14802193641662598
7,model.layers.7.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.15760870277881622,0.14856910705566406
7,model.layers.7.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.2092391401529312,0.1447129249572754
7,model.layers.7.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.1929347813129425,0.14702153205871582
8,model.layers.8.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.057065218687057495,0.1439676284790039
8,model.layers.8.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.07608696073293686,0.14186668395996094
8,model.layers.8.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.10054347664117813,0.14083409309387207
8,model.layers.8.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.07880435138940811,0.14319753646850586
8,model.layers.8.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.17934782803058624,0.144866943359375
8,model.layers.8.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.14945653080940247,0.15057659149169922
8,model.layers.8.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.20652174949645996,0.1461639404296875
9,model.layers.9.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.0733695700764656,0.14414453506469727
9,model.layers.9.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.09782608598470688,0.14191317558288574
9,model.layers.9.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.09239130467176437,0.14240312576293945
9,model.layers.9.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.057065218687057495,0.1450810432434082
9,model.layers.9.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.1467391401529312,0.14486289024353027
9,model.layers.9.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.1467391401529312,0.1476116180419922
9,model.layers.9.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.19021739065647125,0.1460890769958496
10,model.layers.10.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05978260934352875,0.14470767974853516
10,model.layers.10.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.0733695700764656,0.1408405303955078
10,model.layers.10.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.057065218687057495,0.14742565155029297
10,model.layers.10.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.07880435138940811,0.14245319366455078
10,model.layers.10.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.15217392146587372,0.14655232429504395
10,model.layers.10.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.14130434393882751,0.1468043327331543
10,model.layers.10.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.198369562625885,0.14505386352539062
11,model.layers.11.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.04891304299235344,0.14382219314575195
11,model.layers.11.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05978260934352875,0.14287590980529785
11,model.layers.11.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.0625,0.1424264907836914
11,model.layers.11.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.05978260934352875,0.14529037475585938
11,model.layers.11.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.12771739065647125,0.1478874683380127
11,model.layers.11.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.12228260934352875,0.14898395538330078
11,model.layers.11.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.16847826540470123,0.1470930576324463
12,model.layers.12.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.02717391401529312,0.14498424530029297
12,model.layers.12.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05163043737411499,0.14564228057861328
12,model.layers.12.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.0625,0.1433255672454834
12,model.layers.12.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.09239130467176437,0.1484074592590332
12,model.layers.12.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.15217392146587372,0.15079426765441895
12,model.layers.12.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.15760870277881622,0.16612792015075684
12,model.layers.12.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.176630437374115,0.15406441688537598
13,model.layers.13.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.0625,0.14834141731262207
13,model.layers.13.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.04076087102293968,0.14667487144470215
13,model.layers.13.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.06521739065647125,0.14309167861938477
13,model.layers.13.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.0733695700764656,0.14515304565429688
13,model.layers.13.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.14402173459529877,0.14745593070983887
13,model.layers.13.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.14945653080940247,0.1479179859161377
13,model.layers.13.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.198369562625885,0.14472055435180664
14,model.layers.14.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05978260934352875,0.1474015712738037
14,model.layers.14.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.07608696073293686,0.14504170417785645
14,model.layers.14.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.08152174204587936,0.14661145210266113
14,model.layers.14.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.08423913270235062,0.14520549774169922
14,model.layers.14.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.12228260934352875,0.1506361961364746
14,model.layers.14.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.14402173459529877,0.15106487274169922
14,model.layers.14.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.198369562625885,0.14847111701965332
