layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.language_model.layers.12.mlp.up_proj,mlp_up,12,0.2926829268292683,2560,10240,26214400,0.7995636463165283,0.408203125,0.0216522216796875,18.852713178294575,2416.0732421875,2.3827438913746586
model.language_model.layers.12.mlp.down_proj,mlp_down,12,0.2926829268292683,10240,2560,26214400,1.3953380584716797,0.52734375,0.01543426513671875,34.16707859614434,2410.556396484375,3.501756410106003
model.language_model.layers.12.per_layer_input_gate,other,12,0.2926829268292683,2560,256,655360,3.2722249031066895,0.259765625,0.01470184326171875,17.66891541255838,243.1256561279297,2.2069898257391167
model.language_model.layers.12.per_layer_projection,other,12,0.2926829268292683,256,2560,655360,5.184438705444336,0.73046875,0.045806884765625,15.946702198534311,207.5231170654297,2.855055627282118
model.language_model.layers.13.self_attn.q_proj,attn_qkv,13,0.3170731707317073,2560,2048,5242880,0.8754558563232422,0.2294921875,0.0192413330078125,11.927042030134814,1540.1011962890625,3.330991302011416
model.language_model.layers.13.self_attn.k_proj,attn_qkv,13,0.3170731707317073,2560,512,1310720,2.203348159790039,0.25390625,0.018890380859375,13.441033925686591,443.0443420410156,2.5705262444724135
model.language_model.layers.13.self_attn.v_proj,attn_qkv,13,0.3170731707317073,2560,512,1310720,0.6741983890533447,0.36328125,0.0194549560546875,18.672941176470587,501.73779296875,1.4115759112220068
model.language_model.layers.13.self_attn.o_proj,attn_out,13,0.3170731707317073,2048,2560,5242880,2.7150111198425293,0.4375,0.021270751953125,20.568149210903872,1591.444580078125,2.7277902586288065
model.language_model.layers.13.mlp.gate_proj,mlp_up,13,0.3170731707317073,2560,10240,26214400,0.6962189674377441,0.416015625,0.0208892822265625,19.91526661796932,2378.144775390625,5.82495775340637
model.language_model.layers.13.mlp.up_proj,mlp_up,13,0.3170731707317073,2560,10240,26214400,0.668712854385376,0.416015625,0.02105712890625,19.756521739130434,2426.644775390625,2.4346826694501367
model.language_model.layers.13.mlp.down_proj,mlp_down,13,0.3170731707317073,10240,2560,26214400,0.9710087776184082,0.52734375,0.0159759521484375,33.00859598853868,2407.201416015625,3.3548045662157007
model.language_model.layers.13.per_layer_input_gate,other,13,0.3170731707317073,2560,256,655360,4.324532508850098,0.177734375,0.01313018798828125,13.536316095293435,241.1728057861328,2.1074411231306325
model.language_model.layers.13.per_layer_projection,other,13,0.3170731707317073,256,2560,655360,4.5395894050598145,0.89453125,0.045684814453125,19.580494321977287,180.3142547607422,3.207724822425086
model.language_model.layers.14.self_attn.q_proj,attn_qkv,14,0.34146341463414637,2560,2048,5242880,2.0169520378112793,0.341796875,0.01861572265625,18.360655737704917,1511.38134765625,3.9510500856568656
model.language_model.layers.14.self_attn.k_proj,attn_qkv,14,0.34146341463414637,2560,512,1310720,3.581773281097412,0.2890625,0.01788330078125,16.16382252559727,421.267578125,2.591774152302679
model.language_model.layers.14.self_attn.v_proj,attn_qkv,14,0.34146341463414637,2560,512,1310720,0.3279128074645996,0.146484375,0.0193328857421875,7.5769534333070245,483.0459899902344,1.6703985699390804
model.language_model.layers.14.self_attn.o_proj,attn_out,14,0.34146341463414637,2048,2560,5242880,7.597914695739746,0.376953125,0.0207366943359375,18.178072111846948,1545.086181640625,3.0337105497473242
model.language_model.layers.14.mlp.gate_proj,mlp_up,14,0.34146341463414637,2560,10240,26214400,0.827355146408081,0.40625,0.0199432373046875,20.370313695485844,2397.543212890625,3.4005663027555344
model.language_model.layers.14.mlp.up_proj,mlp_up,14,0.34146341463414637,2560,10240,26214400,0.8381896018981934,0.400390625,0.019989013671875,20.03053435114504,2427.239501953125,2.009541623997425
model.language_model.layers.14.mlp.down_proj,mlp_down,14,0.34146341463414637,10240,2560,26214400,1.5682144165039062,0.455078125,0.01491546630859375,30.510485933503837,2385.064208984375,3.316265749091426
model.language_model.layers.14.per_layer_input_gate,other,14,0.34146341463414637,2560,256,655360,6.140325546264648,0.1826171875,0.0116424560546875,15.685452162516382,233.81712341308594,2.1302487481916064
model.language_model.layers.14.per_layer_projection,other,14,0.34146341463414637,256,2560,655360,3.982734203338623,0.828125,0.048675537109375,17.01316614420063,194.83590698242188,3.0785114882822953
model.language_model.layers.15.self_attn.q_proj,attn_qkv,15,0.36585365853658536,2560,2048,5242880,1.8652653694152832,0.30859375,0.0181121826171875,17.037910699241785,1473.5618896484375,3.97238168095913
model.language_model.layers.15.self_attn.k_proj,attn_qkv,15,0.36585365853658536,2560,512,1310720,3.0440001487731934,0.275390625,0.0175323486328125,15.70757180156658,422.8796691894531,2.8625593710851374
model.language_model.layers.15.self_attn.v_proj,attn_qkv,15,0.36585365853658536,2560,512,1310720,0.5089056491851807,0.1884765625,0.01812744140625,10.397306397306398,472.5903015136719,1.781367970819157
model.language_model.layers.15.self_attn.o_proj,attn_out,15,0.36585365853658536,2048,2560,5242880,6.008008003234863,0.44140625,0.0190277099609375,23.198075380914194,1544.572021484375,3.4425170747555374
model.language_model.layers.15.mlp.gate_proj,mlp_up,15,0.36585365853658536,2560,10240,26214400,2.168173313140869,0.53515625,0.019317626953125,27.70300157977883,2357.969970703125,4.0882177052676445
model.language_model.layers.15.mlp.up_proj,mlp_up,15,0.36585365853658536,2560,10240,26214400,1.4645886421203613,0.5,0.01953125,25.6,2405.217529296875,2.405123265406278
model.language_model.layers.15.mlp.down_proj,mlp_down,15,0.36585365853658536,10240,2560,26214400,1.357182502746582,0.345703125,0.013580322265625,25.456179775280898,2363.338134765625,2.6707885598861747
model.language_model.layers.15.per_layer_input_gate,other,15,0.36585365853658536,2560,256,655360,2.838407039642334,0.1630859375,0.01103973388671875,14.772633033863166,237.9939422607422,3.5910396068474726
model.language_model.layers.15.per_layer_projection,other,15,0.36585365853658536,256,2560,655360,6.959559440612793,0.79296875,0.040069580078125,19.78979436405179,204.7893524169922,2.6331010311538625
model.language_model.layers.16.self_attn.q_proj,attn_qkv,16,0.3902439024390244,2560,2048,5242880,1.0256319046020508,0.2373046875,0.018341064453125,12.938435940099833,1481.8426513671875,3.048973940016014
