layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.layers.8.self_attn.v_proj,attn_qkv,8,0.2962962962962963,3072,1024,3145728,0.45910048484802246,0.1220703125,0.0097198486328125,12.558869701726845,936.1680297851562,1.3125601398093483
model.layers.8.self_attn.o_proj,attn_out,8,0.2962962962962963,3072,3072,9437184,1.828397274017334,0.50390625,0.01120758056640625,44.961198093941455,2184.65625,2.336642100293155
model.layers.8.mlp.gate_proj,mlp_up,8,0.2962962962962963,3072,8192,25165824,0.6354403495788574,0.4375,0.01535797119140625,28.486835568802782,2751.624267578125,4.551223298094348
model.layers.8.mlp.up_proj,mlp_up,8,0.2962962962962963,3072,8192,25165824,0.3031954765319824,0.361328125,0.0135498046875,26.666666666666668,2859.45263671875,1.7000032578569657
model.layers.8.mlp.down_proj,mlp_down,8,0.2962962962962963,8192,3072,25165824,1.2308707237243652,0.7109375,0.01342010498046875,52.975554292211484,2803.778076171875,2.7330756797617437
model.layers.9.self_attn.q_proj,attn_qkv,9,0.3333333333333333,3072,3072,9437184,1.5056023597717285,0.279296875,0.0182647705078125,15.29156223893066,2006.103515625,3.811646980160022
model.layers.9.self_attn.k_proj,attn_qkv,9,0.3333333333333333,3072,1024,3145728,1.3886027336120605,0.296875,0.0238494873046875,12.447856685860526,823.1485595703125,2.45693257126578
model.layers.9.self_attn.v_proj,attn_qkv,9,0.3333333333333333,3072,1024,3145728,1.0845823287963867,0.1015625,0.010467529296875,9.70262390670554,915.10986328125,1.2558118890143855
model.layers.9.self_attn.o_proj,attn_out,9,0.3333333333333333,3072,3072,9437184,2.3358912467956543,0.51171875,0.01177215576171875,43.468567725210626,2170.36279296875,2.305377434392472
model.layers.9.mlp.gate_proj,mlp_up,9,0.3333333333333333,3072,8192,25165824,1.0117840766906738,0.5859375,0.01525115966796875,38.419209604802404,2743.37060546875,4.690949604771867
model.layers.9.mlp.up_proj,mlp_up,9,0.3333333333333333,3072,8192,25165824,0.2613048553466797,0.318359375,0.01381683349609375,23.041413583655437,2846.093017578125,1.6149188617112225
model.layers.9.mlp.down_proj,mlp_down,9,0.3333333333333333,8192,3072,25165824,1.4223780632019043,0.7421875,0.01349639892578125,54.99152063312606,2794.598876953125,2.8684749665730025
model.layers.10.self_attn.q_proj,attn_qkv,10,0.37037037037037035,3072,3072,9437184,1.1904816627502441,0.259765625,0.018096923828125,14.354131534569984,2021.9146728515625,3.8712513660991656
